long,lat,group,order,Kiez
13.3708420408076,52.62739678369017,3,2034,Pankow
13.37091714884015,52.6273841838849,3,2035,Pankow
13.37097888514826,52.62736688186068,3,2036,Pankow
13.37111262025125,52.62724323674905,3,2037,Pankow
13.37117059070108,52.6272241290704,3,2038,Pankow
13.3714824479443,52.62717770768123,3,2039,Pankow
13.37157759046212,52.62721799526373,3,2040,Pankow
13.37158445090517,52.62740009055069,3,2041,Pankow
13.37186156935542,52.62733678738337,3,2042,Pankow
13.37213675627366,52.62731239396711,3,2043,Pankow
13.3723158558253,52.62728446859284,3,2044,Pankow
13.37250761057144,52.62744826689424,3,2045,Pankow
13.37261968120566,52.62753154869762,3,2046,Pankow
13.372677844297257,52.62758442810689,3,2047,Pankow
13.37270558184766,52.62759050893155,3,2048,Pankow
13.37279233834168,52.62756463183876,3,2049,Pankow
13.37297416539201,52.62746526312871,3,2050,Pankow
13.37318739029026,52.6275819234928,3,2051,Pankow
13.37328185829656,52.62761286158057,3,2052,Pankow
13.37337796977206,52.62771794743866,3,2053,Pankow
13.37353725292979,52.62781031639324,3,2054,Pankow
13.37363404828766,52.62781798233931,3,2055,Pankow
13.37383211107791,52.62777589537235,3,2056,Pankow
13.373971084580818,52.62769332968271,3,2057,Pankow
13.37407561364835,52.62769058660496,3,2058,Pankow
13.374129583759629,52.62768917372766,3,2059,Pankow
13.374180861917838,52.62777466124118,3,2060,Pankow
13.37416300338724,52.62793594331009,3,2061,Pankow
13.3741976391289,52.62792873742907,3,2062,Pankow
13.37456400839855,52.62778680025404,3,2063,Pankow
13.37460051121139,52.627921236367,3,2064,Pankow
13.374595037909048,52.62798350597094,3,2065,Pankow
13.37460495580585,52.62801704927691,3,2066,Pankow
13.37476908437505,52.62798729093533,3,2067,Pankow
13.37502782666563,52.6282398411099,3,2068,Pankow
13.37508693264701,52.62836273154661,3,2069,Pankow
13.37519525147629,52.62852814586051,3,2070,Pankow
13.37521848776638,52.628618516398,3,2071,Pankow
13.37538736983763,52.62865248646178,3,2072,Pankow
13.37545402188441,52.62869154220926,3,2073,Pankow
13.375474983251788,52.62868987904529,3,2074,Pankow
13.37571832983945,52.62852556917768,3,2075,Pankow
13.37574207378514,52.62846324831763,3,2076,Pankow
13.37587775694482,52.62842336259567,3,2077,Pankow
13.37597352391279,52.628419430977374,3,2078,Pankow
13.376208273342268,52.62835234332881,3,2079,Pankow
13.37636493209268,52.62839365568058,3,2080,Pankow
13.37635037265659,52.6286186642018,3,2081,Pankow
13.376247786341768,52.62875037957136,3,2082,Pankow
13.37600731497502,52.62890193478748,3,2083,Pankow
